COMMUNITY,MOVEMENT_GROUP,FAN_ID,PRIMARY_MERCHANT,SECONDARY_MERCHANT,DAY_DATE,WINS,LOSSES,NET,PRIMARY_SPEND,SECONDARY_SPEND
NFL,Video Streaming,2c6ac6963ee79ba771b5ef8d41974ef5,_none_,disney_plus,2024-06-27,1,0,1,,16.120000000
NBA,Video Streaming,70d9a235360cefa1e898df066bf0161b,paramount+,_none_,2023-11-24,0,1,-1,5.228333333,
NHL,Video Streaming,a4b0690626ff386cd49900963532750b,_none_,disney_plus,2024-02-09,1,0,1,,11.342777778
NBA,Video Streaming,16d9ec6f6de2f54702e0d37db13a8efc,_none_,netflix,2024-05-11,0,1,-1,,7.403333333
NFL,Video Streaming,9ea58ea739f9ea1034e08f27e9bf19a3,disney_plus,hbo_max,2024-08-02,0,1,-1,14.408000000,17.240000000
NHL,Video Streaming,36c82abc82e744c873588951eaa4cc11,disney_plus,_none_,2023-09-28,0,1,-1,14.934285714,
NFL,Video Streaming,0ea01c370e6ae05b0dfdf05803e5fb22,_none_,netflix,2024-05-22,1,0,1,,16.281250000
NBA,Video Streaming,8f7849db7210cacdb01c913134cf338d,_none_,hulu,2024-08-15,1,0,1,,7.860000000
MLB,Video Streaming,6543b2888d2238473e7ec9eee210acfc,peacock_tv,_none_,2024-05-21,1,0,1,8.145000000,
NBA,Video Streaming,c1465f68d851b102bdbed11a2550fc3d,hulu,_none_,2024-07-02,0,1,-1,14.006111111,
MLS,Video Streaming,92c65159be060e08a72846d977c00626,dazn,_none_,2024-08-03,1,0,1,52.775000000,
NFL,Video Streaming,fc14b926b321256388949f336a51eca4,youtube_tv,_none_,2024-03-26,1,0,1,65.034166667,
NBA,Video Streaming,3abdcc637f6f76718fd1cd8be5dc0a7c,_none_,hulu,2024-08-14,1,0,1,,21.678823529
MLB,Video Streaming,27a5a4762463c58bd58a65e5b54c8e53,_none_,disney_plus,2024-01-10,1,0,1,,18.300000000
NFL,Video Streaming,1201c5d484e0d47fa99f397a6214eba6,_none_,netflix,2024-01-03,0,1,-1,,15.480000000
NFL,Video Streaming,21f51a6f5dabd3607b96a3f37e6c5f50,_none_,netflix,2024-04-19,0,1,-1,,26.005000000
NBA,Video Streaming,7d546062b342010556c95f41d90c144e,_none_,hulu,2024-09-11,1,0,1,,7.681081081
WNBA,Video Streaming,e69df50c2d964f7e1b77a3db35866a05,_none_,netflix,2024-03-16,1,0,1,,23.097500000
MLB,Video Streaming,22aa8a93d5f853978997cef38ffac67a,peacock_tv,_none_,2023-12-11,0,1,-1,5.068333333,
NBA,Video Streaming,db077fa5b4f97c538b027a33276dce21,_none_,hulu,2024-05-20,1,0,1,,11.008518519
NHL,Video Streaming,a859b6d8e71c43de25baacc4f104baa4,_none_,netflix,2024-05-19,0,1,-1,,16.175000000
NFL,Video Streaming,81e1014f1c4bfeaf1fb142b68ba2f438,_none_,youtube_tv,2023-10-18,1,0,1,,73.298260870
